"Simple average house and mortage price statistics [note 1, 2, 3, 4, 5, 6, 7]",,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,,,
Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers
1994 Q3,United Kingdom,K02000001,"74,000 ","52,000 ","24,000 ","64,000 ","47,000 ","22,000 ","66,000 ","48,000 ","23,000 ","49,000 ","40,000 ","19,000 ","87,000 ","56,000 ","27,000 "
1994 Q4,United Kingdom,K02000001,"77,000 ","56,000 ","25,000 ","63,000 ","46,000 ","22,000 ","66,000 ","48,000 ","22,000 ","49,000 ","41,000 ","19,000 ","85,000 ","55,000 ","27,000 "
1995 Q1,United Kingdom,K02000001,"75,000 ","55,000 ","26,000 ","60,000 ","45,000 ","21,000 ","62,000 ","46,000 ","22,000 ","47,000 ","41,000 ","19,000 ","83,000 ","54,000 ","27,000 "
1995 Q2,United Kingdom,K02000001,"78,000 ","58,000 ","26,000 ","62,000 ","47,000 ","22,000 ","65,000 ","49,000 ","23,000 ","47,000 ","42,000 ","19,000 ","87,000 ","56,000 ","28,000 "
1995 Q3,United Kingdom,K02000001,"81,000 ","58,000 ","28,000 ","65,000 ","48,000 ","23,000 ","68,000 ","50,000 ","24,000 ","46,000 ","41,000 ","19,000 ","91,000 ","58,000 ","29,000 "
1995 Q4,United Kingdom,K02000001,"82,000 ","59,000 ","28,000 ","64,000 ","47,000 ","23,000 ","67,000 ","49,000 ","23,000 ","46,000 ","42,000 ","19,000 ","88,000 ","56,000 ","28,000 "
1996 Q1,United Kingdom,K02000001,"81,000 ","58,000 ","28,000 ","63,000 ","48,000 ","23,000 ","66,000 ","49,000 ","23,000 ","46,000 ","41,000 ","19,000 ","89,000 ","58,000 ","28,000 "
1996 Q2,United Kingdom,K02000001,"83,000 ","61,000 ","28,000 ","66,000 ","49,000 ","24,000 ","69,000 ","51,000 ","24,000 ","49,000 ","44,000 ","20,000 ","87,000 ","56,000 ","29,000 "
1996 Q3,United Kingdom,K02000001,"85,000 ","62,000 ","29,000 ","71,000 ","52,000 ","25,000 ","73,000 ","53,000 ","25,000 ","50,000 ","45,000 ","20,000 ","93,000 ","59,000 ","30,000 "
1996 Q4,United Kingdom,K02000001,"89,000 ","63,000 ","30,000 ","68,000 ","50,000 ","24,000 ","70,000 ","51,000 ","25,000 ","48,000 ","44,000 ","20,000 ","91,000 ","58,000 ","29,000 "
1997 Q1,United Kingdom,K02000001,"97,000 ","65,000 ","32,000 ","70,000 ","52,000 ","25,000 ","73,000 ","53,000 ","25,000 ","49,000 ","44,000 ","20,000 ","93,000 ","60,000 ","30,000 "
1997 Q2,United Kingdom,K02000001,"92,000 ","66,000 ","31,000 ","73,000 ","54,000 ","26,000 ","76,000 ","55,000 ","26,000 ","50,000 ","46,000 ","20,000 ","96,000 ","62,000 ","31,000 "
1997 Q3,United Kingdom,K02000001,"93,000 ","66,000 ","31,000 ","76,000 ","55,000 ","26,000 ","78,000 ","56,000 ","27,000 ","55,000 ","48,000 ","22,000 ","98,000 ","64,000 ","31,000 "
1997 Q4,United Kingdom,K02000001,"93,000 ","66,000 ","30,000 ","74,000 ","54,000 ","25,000 ","76,000 ","55,000 ","26,000 ","55,000 ","47,000 ","21,000 ","96,000 ","62,000 ","30,000 "
1998 Q1,United Kingdom,K02000001,"94,000 ","68,000 ","31,000 ","75,000 ","54,000 ","26,000 ","78,000 ","56,000 ","26,000 ","54,000 ","48,000 ","21,000 ","99,000 ","63,000 ","31,000 "
1998 Q2,United Kingdom,K02000001,"97,000 ","69,000 ","31,000 ","79,000 ","57,000 ","27,000 ","81,000 ","58,000 ","27,000 ","60,000 ","51,000 ","23,000 ","102,000 ","65,000 ","32,000 "
1998 Q3,United Kingdom,K02000001,"94,000 ","67,000 ","31,000 ","84,000 ","59,000 ","28,000 ","85,000 ","59,000 ","28,000 ","66,000 ","53,000 ","24,000 ","103,000 ","65,000 ","32,000 "
1998 Q4,United Kingdom,K02000001,"102,000 ","74,000 ","34,000 ","80,000 ","57,000 ","27,000 ","83,000 ","59,000 ","28,000 ","64,000 ","51,000 ","23,000 ","101,000 ","66,000 ","32,000 "
1999 Q1,United Kingdom,K02000001,"106,000 ","72,000 ","33,000 ","81,000 ","58,000 ","27,000 ","84,000 ","60,000 ","28,000 ","65,000 ","53,000 ","24,000 ","103,000 ","67,000 ","33,000 "
1999 Q2,United Kingdom,K02000001,"112,000 ","78,000 ","35,000 ","87,000 ","62,000 ","29,000 ","90,000 ","64,000 ","29,000 ","72,000 ","58,000 ","26,000 ","106,000 ","69,000 ","33,000 "
1999 Q3,United Kingdom,K02000001,"113,000 ","79,000 ","36,000 ","95,000 ","66,000 ","31,000 ","97,000 ","68,000 ","31,000 ","74,000 ","59,000 ","26,000 ","116,000 ","75,000 ","35,000 "
1999 Q4,United Kingdom,K02000001,"116,000 ","80,000 ","36,000 ","94,000 ","66,000 ","29,000 ","97,000 ","67,000 ","30,000 ","74,000 ","59,000 ","25,000 ","116,000 ","74,000 ","34,000 "
2000 Q1,United Kingdom,K02000001,"121,000 ","82,000 ","36,000 ","94,000 ","66,000 ","30,000 ","97,000 ","68,000 ","30,000 ","75,000 ","59,000 ","26,000 ","118,000 ","76,000 ","34,000 "
2000 Q2,United Kingdom,K02000001,"121,000 ","82,000 ","37,000 ","99,000 ","70,000 ","30,000 ","102,000 ","71,000 ","31,000 ","77,000 ","62,000 ","26,000 ","121,000 ","79,000 ","35,000 "
2000 Q3,United Kingdom,K02000001,"122,000 ","82,000 ","36,000 ","100,000 ","69,000 ","31,000 ","102,000 ","70,000 ","31,000 ","75,000 ","60,000 ","26,000 ","123,000 ","78,000 ","35,000 "
2000 Q4,United Kingdom,K02000001,"126,000 ","85,000 ","37,000 ","101,000 ","70,000 ","31,000 ","104,000 ","72,000 ","32,000 ","76,000 ","61,000 ","26,000 ","125,000 ","80,000 ","36,000 "
2001 Q1,United Kingdom,K02000001,"131,000 ","91,000 ","39,000 ","104,000 ","72,000 ","31,000 ","107,000 ","74,000 ","32,000 ","79,000 ","63,000 ","27,000 ","128,000 ","82,000 ","36,000 "
2001 Q2,United Kingdom,K02000001,"128,000 ","90,000 ","38,000 ","110,000 ","75,000 ","33,000 ","112,000 ","78,000 ","34,000 ","83,000 ","66,000 ","28,000 ","133,000 ","86,000 ","37,000 "
2001 Q3,United Kingdom,K02000001,"137,000 ","91,000 ","39,000 ","115,000 ","76,000 ","34,000 ","117,000 ","78,000 ","34,000 ","88,000 ","68,000 ","29,000 ","138,000 ","87,000 ","38,000 "
2001 Q4,United Kingdom,K02000001,"134,000 ","92,000 ","41,000 ","110,000 ","73,000 ","33,000 ","113,000 ","75,000 ","34,000 ","88,000 ","70,000 ","29,000 ","128,000 ","82,000 ","37,000 "
2002 Q1,United Kingdom,K02000001,"145,000 ","100,000 ","43,000 ","111,000 ","76,000 ","33,000 ","113,000 ","78,000 ","34,000 ","91,000 ","73,000 ","29,000 ","124,000 ","82,000 ","36,000 "
2002 Q2,United Kingdom,K02000001,"153,000 ","100,000 ","42,000 ","123,000 ","81,000 ","35,000 ","126,000 ","83,000 ","36,000 ","100,000 ","78,000 ","31,000 ","136,000 ","88,000 ","38,000 "
2002 Q3,United Kingdom,K02000001,"163,000 ","105,000 ","44,000 ","132,000 ","85,000 ","36,000 ","136,000 ","88,000 ","37,000 ","111,000 ","84,000 ","33,000 ","147,000 ","92,000 ","39,000 "
2002 Q4,United Kingdom,K02000001,"164,000 ","107,000 ","46,000 ","131,000 ","85,000 ","37,000 ","134,000 ","88,000 ","38,000 ","111,000 ","85,000 ","34,000 ","144,000 ","91,000 ","39,000 "
2003 Q1,United Kingdom,K02000001,"161,000 ","106,000 ","44,000 ","132,000 ","87,000 ","38,000 ","134,000 ","88,000 ","38,000 ","105,000 ","81,000 ","32,000 ","142,000 ","90,000 ","39,000 "
2003 Q2,United Kingdom,K02000001,"179,000 ","119,000 ","48,000 ","139,000 ","90,000 ","37,000 ","142,000 ","92,000 ","38,000 ","109,000 ","84,000 ","32,000 ","153,000 ","95,000 ","40,000 "
2003 Q3,United Kingdom,K02000001,"196,000 ","125,000 ","49,000 ","160,000 ","99,000 ","39,000 ","162,000 ","101,000 ","40,000 ","114,000 ","87,000 ","29,000 ","172,000 ","103,000 ","40,000 "
2003 Q4,United Kingdom,K02000001,"198,000 ","130,000 ","50,000 ","164,000 ","104,000 ","39,000 ","166,000 ","106,000 ","40,000 ","119,000 ","91,000 ","31,000 ","176,000 ","108,000 ","40,000 "
2004 Q1,United Kingdom,K02000001,"204,000 ","132,000 ","51,000 ","167,000 ","103,000 ","39,000 ","169,000 ","104,000 ","40,000 ","122,000 ","92,000 ","31,000 ","180,000 ","107,000 ","40,000 "
2004 Q2,United Kingdom,K02000001,"208,000 ","137,000 ","52,000 ","174,000 ","108,000 ","40,000 ","177,000 ","108,000 ","40,000 ","130,000 ","100,000 ","33,000 ","186,000 ","111,000 ","41,000 "
2004 Q3,United Kingdom,K02000001,"215,000 ","140,000 ","51,000 ","186,000 ","115,000 ","39,000 ","189,000 ","114,000 ","40,000 ","137,000 ","105,000 ","33,000 ","200,000 ","119,000 ","41,000 "
2004 Q4,United Kingdom,K02000001,"205,000 ","134,000 ","51,000 ","182,000 ","114,000 ","38,000 ","186,000 ","113,000 ","39,000 ","138,000 ","104,000 ","33,000 ","198,000 ","119,000 ","41,000 "
2005 Q1,United Kingdom,K02000001,"211,000 ","133,000 ","50,000 ","182,000 ","113,000 ","40,000 ","185,000 ","112,000 ","40,000 ","139,000 ","105,000 ","34,000 ","197,000 ","116,000 ","43,000 "
2005 Q2,United Kingdom,K02000001,"210,000 ","134,000 ","51,000 ","187,000 ","120,000 ","40,000 ","190,000 ","118,000 ","41,000 ","145,000 ","110,000 ","35,000 ","200,000 ","123,000 ","44,000 "
2005 Q3,United Kingdom,K02000001,"213,000 ","138,000 ","52,000 ","197,000 ","128,000 ","44,000 ","199,000 ","127,000 ","45,000 ","146,000 ","114,000 ","37,000 ","217,000 ","133,000 ","48,000 "
2005 Q4,United Kingdom,K02000001,"213,000 ","148,000 ","56,000 ","188,000 ","130,000 ","48,000 ","189,000 ","131,000 ","48,000 ","136,000 ","114,000 ","39,000 ","223,000 ","143,000 ","55,000 "
2006 Q1,United Kingdom,K02000001,"222,000 ","147,000 ","56,000 ","192,000 ","131,000 ","49,000 ","193,000 ","132,000 ","49,000 ","138,000 ","114,000 ","39,000 ","229,000 ","143,000 ","55,000 "
2006 Q2,United Kingdom,K02000001,"222,000 ","147,000 ","55,000 ","198,000 ","136,000 ","50,000 ","199,000 ","136,000 ","50,000 ","144,000 ","119,000 ","40,000 ","232,000 ","146,000 ","56,000 "
2006 Q3,United Kingdom,K02000001,"221,000 ","145,000 ","53,000 ","214,000 ","143,000 ","52,000 ","214,000 ","143,000 ","52,000 ","152,000 ","124,000 ","41,000 ","249,000 ","153,000 ","58,000 "
2006 Q4,United Kingdom,K02000001,"222,000 ","148,000 ","54,000 ","212,000 ","143,000 ","52,000 ","212,000 ","143,000 ","52,000 ","151,000 ","125,000 ","41,000 ","246,000 ","153,000 ","58,000 "
2007 Q1,United Kingdom,K02000001,"221,000 ","147,000 ","54,000 ","217,000 ","147,000 ","54,000 ","217,000 ","147,000 ","54,000 ","154,000 ","127,000 ","42,000 ","253,000 ","159,000 ","61,000 "
2007 Q2,United Kingdom,K02000001,"226,000 ","150,000 ","54,000 ","218,000 ","149,000 ","53,000 ","219,000 ","149,000 ","53,000 ","159,000 ","131,000 ","42,000 ","252,000 ","159,000 ","59,000 "
2007 Q3,United Kingdom,K02000001,"224,000 ","145,000 ","53,000 ","233,000 ","155,000 ","55,000 ","232,000 ","154,000 ","55,000 ","164,000 ","134,000 ","43,000 ","268,000 ","165,000 ","61,000 "
2007 Q4,United Kingdom,K02000001,"227,000 ","149,000 ","53,000 ","225,000 ","151,000 ","53,000 ","226,000 ","151,000 ","53,000 ","161,000 ","130,000 ","41,000 ","261,000 ","162,000 ","59,000 "
2008 Q1,United Kingdom,K02000001,"227,000 ","147,000 ","53,000 ","227,000 ","151,000 ","54,000 ","227,000 ","150,000 ","54,000 ","161,000 ","129,000 ","41,000 ","264,000 ","162,000 ","61,000 "
2008 Q2,United Kingdom,K02000001,"232,000 ","150,000 ","54,000 ","228,000 ","151,000 ","55,000 ","228,000 ","151,000 ","55,000 ","166,000 ","130,000 ","43,000 ","262,000 ","162,000 ","61,000 "
2008 Q3,United Kingdom,K02000001,"223,000 ","135,000 ","53,000 ","234,000 ","146,000 ","56,000 ","233,000 ","146,000 ","56,000 ","168,000 ","123,000 ","42,000 ","268,000 ","157,000 ","64,000 "
2008 Q4,United Kingdom,K02000001,"203,000 ","128,000 ","49,000 ","224,000 ","137,000 ","54,000 ","222,000 ","136,000 ","54,000 ","158,000 ","114,000 ","40,000 ","257,000 ","148,000 ","61,000 "
2009 Q1,United Kingdom,K02000001,"193,000 ","124,000 ","47,000 ","219,000 ","133,000 ","53,000 ","217,000 ","132,000 ","53,000 ","155,000 ","110,000 ","39,000 ","255,000 ","146,000 ","61,000 "
2009 Q2,United Kingdom,K02000001,"192,000 ","122,000 ","49,000 ","218,000 ","133,000 ","53,000 ","216,000 ","132,000 ","53,000 ","158,000 ","110,000 ","40,000 ","249,000 ","145,000 ","60,000 "
2009 Q3,United Kingdom,K02000001,"203,000 ","122,000 ","49,000 ","239,000 ","143,000 ","56,000 ","236,000 ","142,000 ","56,000 ","172,000 ","118,000 ","42,000 ","270,000 ","154,000 ","63,000 "
2009 Q4,United Kingdom,K02000001,"208,000 ","127,000 ","52,000 ","237,000 ","143,000 ","55,000 ","235,000 ","142,000 ","55,000 ","177,000 ","121,000 ","43,000 ","265,000 ","153,000 ","61,000 "
2010 Q1,United Kingdom,K02000001,"210,000 ","129,000 ","49,000 ","256,000 ","152,000 ","59,000 ","253,000 ","151,000 ","58,000 ","185,000 ","124,000 ","44,000 ","286,000 ","164,000 ","65,000 "
2010 Q2,United Kingdom,K02000001,"214,000 ","132,000 ","51,000 ","252,000 ","152,000 ","58,000 ","249,000 ","151,000 ","57,000 ","186,000 ","128,000 ","45,000 ","280,000 ","162,000 ","64,000 "
2010 Q3,United Kingdom,K02000001,"214,000 ","130,000 ","53,000 ","261,000 ","158,000 ","60,000 ","258,000 ","156,000 ","59,000 ","187,000 ","130,000 ","45,000 ","293,000 ","169,000 ","66,000 "
2010 Q4,United Kingdom,K02000001,"218,000 ","137,000 ","53,000 ","248,000 ","153,000 ","57,000 ","244,000 ","152,000 ","57,000 ","177,000 ","125,000 ","43,000 ","278,000 ","165,000 ","64,000 "
2011 Q1,United Kingdom,K02000001,"208,000 ","133,000 ","49,000 ","250,000 ","154,000 ","58,000 ","244,000 ","152,000 ","57,000 ","177,000 ","125,000 ","44,000 ","282,000 ","168,000 ","65,000 "
2011 Q2,United Kingdom,K02000001,"221,000 ","140,000 ","54,000 ","243,000 ","152,000 ","57,000 ","240,000 ","151,000 ","57,000 ","179,000 ","128,000 ","44,000 ","274,000 ","163,000 ","64,000 "
2011 Q3,United Kingdom,K02000001,"231,000 ","140,000 ","52,000 ","256,000 ","158,000 ","58,000 ","254,000 ","158,000 ","58,000 ","186,000 ","132,000 ","45,000 ","289,000 ","171,000 ","65,000 "
2011 Q4,United Kingdom,K02000001,"234,000 ","145,000 ","53,000 ","242,000 ","153,000 ","55,000 ","242,000 ","153,000 ","56,000 ","177,000 ","128,000 ","42,000 ","276,000 ","167,000 ","63,000 "
2012 Q1,United Kingdom,K02000001,"227,000 ","146,000 ","51,000 ","240,000 ","153,000 ","55,000 ","239,000 ","153,000 ","55,000 ","179,000 ","132,000 ","44,000 ","276,000 ","166,000 ","62,000 "
2012 Q2,United Kingdom,K02000001,"231,000 ","150,000 ","53,000 ","245,000 ","156,000 ","57,000 ","244,000 ","156,000 ","57,000 ","180,000 ","132,000 ","45,000 ","277,000 ","168,000 ","64,000 "
2012 Q3,United Kingdom,K02000001,"232,000 ","148,000 ","55,000 ","255,000 ","161,000 ","59,000 ","254,000 ","161,000 ","59,000 ","186,000 ","137,000 ","46,000 ","293,000 ","175,000 ","66,000 "
2012 Q4,United Kingdom,K02000001,"232,000 ","146,000 ","54,000 ","248,000 ","159,000 ","58,000 ","247,000 ","158,000 ","57,000 ","182,000 ","134,000 ","45,000 ","286,000 ","172,000 ","65,000 "
2013 Q1,United Kingdom,K02000001,"229,000 ","146,000 ","54,000 ","244,000 ","157,000 ","57,000 ","243,000 ","157,000 ","58,000 ","180,000 ","134,000 ","44,000 ","286,000 ","173,000 ","66,000 "
2013 Q2,United Kingdom,K02000001,"242,000 ","154,000 ","57,000 ","244,000 ","160,000 ","57,000 ","245,000 ","159,000 ","58,000 ","189,000 ","141,000 ","47,000 ","285,000 ","172,000 ","66,000 "
2013 Q3,United Kingdom,K02000001,"243,000 ","160,000 ","59,000 ","261,000 ","167,000 ","59,000 ","260,000 ","167,000 ","60,000 ","196,000 ","146,000 ","47,000 ","302,000 ","181,000 ","68,000 "
2013 Q4,United Kingdom,K02000001,"245,000 ","166,000 ","60,000 ","256,000 ","167,000 ","58,000 ","255,000 ","167,000 ","58,000 ","193,000 ","146,000 ","47,000 ","296,000 ","182,000 ","66,000 "
2014 Q1,United Kingdom,K02000001,"263,000 ","174,000 ","64,000 ","260,000 ","170,000 ","58,000 ","260,000 ","171,000 ","59,000 ","196,000 ","148,000 ","47,000 ","305,000 ","187,000 ","67,000 "
2014 Q2,United Kingdom,K02000001,"279,000 ","180,000 ","68,000 ","264,000 ","175,000 ","58,000 ","264,000 ","176,000 ","59,000 ","201,000 ","153,000 ","47,000 ","308,000 ","191,000 ","67,000 "
2014 Q3,United Kingdom,K02000001,"282,000 ","179,000 ","67,000 ","278,000 ","180,000 ","61,000 ","278,000 ","180,000 ","61,000 ","209,000 ","158,000 ","49,000 ","324,000 ","196,000 ","70,000 "
2014 Q4,United Kingdom,K02000001,"269,000 ","176,000 ","66,000 ","267,000 ","175,000 ","60,000 ","266,000 ","175,000 ","60,000 ","202,000 ","153,000 ","48,000 ","312,000 ","191,000 ","69,000 "
2015 Q1,United Kingdom,K02000001,"267,000 ","174,000 ","63,000 ","270,000 ","179,000 ","61,000 ","270,000 ","179,000 ","61,000 ","202,000 ","152,000 ","48,000 ","321,000 ","199,000 ","72,000 "
2015 Q2,United Kingdom,K02000001,"277,000 ","181,000 ","64,000 ","265,000 ","179,000 ","60,000 ","267,000 ","179,000 ","61,000 ","201,000 ","154,000 ","48,000 ","319,000 ","200,000 ","71,000 "
2015 Q3,United Kingdom,K02000001,"282,000 ","180,000 ","64,000 ","289,000 ","190,000 ","64,000 ","288,000 ","189,000 ","64,000 ","208,000 ","158,000 ","50,000 ","345,000 ","211,000 ","74,000 "
2015 Q4,United Kingdom,K02000001,"279,000 ","185,000 ","63,000 ","284,000 ","188,000 ","63,000 ","281,000 ","187,000 ","62,000 ","205,000 ","157,000 ","49,000 ","339,000 ","210,000 ","73,000 "
2016 Q1,United Kingdom,K02000001,"289,000 ","189,000 ","65,000 ","294,000 ","196,000 ","65,000 ","293,000 ","195,000 ","65,000 ","211,000 ","161,000 ","50,000 ","355,000 ","220,000 ","76,000 "
2016 Q2,United Kingdom,K02000001,"283,000 ","186,000 ","62,000 ","266,000 ","181,000 ","58,000 ","268,000 ","182,000 ","58,000 ","207,000 ","160,000 ","49,000 ","330,000 ","205,000 ","69,000 "
2016 Q3,United Kingdom,K02000001,"287,000 ","187,000 ","63,000 ","286,000 ","192,000 ","62,000 ","286,000 ","191,000 ","62,000 ","214,000 ","165,000 ","50,000 ","351,000 ","215,000 ","73,000 "
2016 Q4,United Kingdom,K02000001,"301,000 ","195,000 ","64,000 ","280,000 ","188,000 ","60,000 ","283,000 ","189,000 ","61,000 ","213,000 ","163,000 ","49,000 ","346,000 ","212,000 ","72,000 "
2017 Q1,United Kingdom,K02000001,"291,000 ","187,000 ","62,000 ","273,000 ","183,000 ","59,000 ","275,000 ","184,000 ","59,000 ","207,000 ","155,000 ","47,000 ","339,000 ","211,000 ","71,000 "
2017 Q2,United Kingdom,K02000001,"305,000 ","197,000 ","63,000 ","274,000 ","187,000 ","59,000 ","279,000 ","189,000 ","60,000 ","212,000 ","161,000 ","48,000 ","343,000 ","215,000 ","71,000 "
2017 Q3,United Kingdom,K02000001,"303,000 ","196,000 ","63,000 ","286,000 ","193,000 ","61,000 ","288,000 ","194,000 ","61,000 ","215,000 ","164,000 ","49,000 ","354,000 ","221,000 ","72,000 "
2017 Q4,United Kingdom,K02000001,"306,000 ","199,000 ","63,000 ","274,000 ","186,000 ","58,000 ","279,000 ","188,000 ","58,000 ","211,000 ","160,000 ","48,000 ","341,000 ","214,000 ","68,000 "
2018 Q1,United Kingdom,K02000001,"304,000 ","197,000 ","62,000 ","278,000 ","189,000 ","59,000 ","281,000 ","190,000 ","59,000 ","213,000 ","162,000 ","48,000 ","349,000 ","218,000 ","70,000 "
2018 Q2,United Kingdom,K02000001,"309,000 ","201,000 ","63,000 ","273,000 ","188,000 ","58,000 ","279,000 ","190,000 ","59,000 ","217,000 ","164,000 ","48,000 ","342,000 ","217,000 ","70,000 "
2018 Q3,United Kingdom,K02000001,"311,000 ","201,000 ","64,000 ","286,000 ","196,000 ","60,000 ","290,000 ","197,000 ","61,000 ","221,000 ","169,000 ","49,000 ","355,000 ","223,000 ","72,000 "
2018 Q4,United Kingdom,K02000001,"303,000 ","198,000 ","61,000 ","276,000 ","190,000 ","58,000 ","281,000 ","192,000 ","59,000 ","217,000 ","166,000 ","48,000 ","343,000 ","218,000 ","69,000 "
2019 Q1,United Kingdom,K02000001,"302,000 ","196,000 ","61,000 ","271,000 ","189,000 ","58,000 ","276,000 ","190,000 ","58,000 ","214,000 ","164,000 ","48,000 ","340,000 ","218,000 ","69,000 "
2019 Q2,United Kingdom,K02000001,"304,000 ","201,000 ","63,000 ","270,000 ","191,000 ","59,000 ","276,000 ","193,000 ","59,000 ","216,000 ","166,000 ","48,000 ","339,000 ","221,000 ","71,000 "
2019 Q3,United Kingdom,K02000001,"309,000 ","202,000 ","64,000 ","285,000 ","199,000 ","61,000 ","288,000 ","200,000 ","61,000 ","219,000 ","170,000 ","50,000 ","357,000 ","229,000 ","73,000 "
2019 Q4,United Kingdom,K02000001,"309,000 ","204,000 ","63,000 ","284,000 ","199,000 ","61,000 ","289,000 ","200,000 ","61,000 ","221,000 ","170,000 ","49,000 ","354,000 ","228,000 ","72,000 "
2020 Q1,United Kingdom,K02000001,"312,000 ","204,000 ","65,000 ","287,000 ","202,000 ","62,000 ","291,000 ","202,000 ","62,000 ","224,000 ","172,000 ","50,000 ","358,000 ","232,000 ","74,000 "
2020 Q2,United Kingdom,K02000001,"308,000 ","204,000 ","64,000 ","277,000 ","199,000 ","60,000 ","281,000 ","199,000 ","61,000 ","220,000 ","172,000 ","50,000 ","350,000 ","230,000 ","73,000 "
2020 Q3,United Kingdom,K02000001,"320,000 ","211,000 ","66,000 ","315,000 ","218,000 ","66,000 ","316,000 ","217,000 ","66,000 ","240,000 ","183,000 ","53,000 ","388,000 ","249,000 ","79,000 "
2020 Q4,United Kingdom,K02000001,"326,000 ","213,000 ","66,000 ","326,000 ","220,000 ","67,000 ","326,000 ","219,000 ","67,000 ","245,000 ","182,000 ","53,000 ","393,000 ","250,000 ","79,000 "
2021 Q1,United Kingdom,K02000001,"336,000 ","216,000 ","67,000 ","347,000 ","230,000 ","70,000 ","345,000 ","228,000 ","69,000 ","257,000 ","189,000 ","55,000 ","409,000 ","255,000 ","80,000 "
2021 Q2,United Kingdom,K02000001,"328,000 ","213,000 ","66,000 ","345,000 ","230,000 ","70,000 ","343,000 ","227,000 ","69,000 ","256,000 ","190,000 ","55,000 ","416,000 ","259,000 ","81,000 "
2021 Q3,United Kingdom,K02000001,"298,000 ","198,000 ","62,000 ","295,000 ","203,000 ","61,000 ","295,000 ","202,000 ","61,000 ","224,000 ","172,000 ","50,000 ","368,000 ","233,000 ","73,000 "
2021 Q4,United Kingdom,K02000001,"312,000 ","207,000 ","63,000 ","311,000 ","213,000 ","63,000 ","311,000 ","212,000 ","63,000 ","233,000 ","178,000 ","51,000 ","404,000 ","252,000 ","78,000 "
2022 Q1,United Kingdom,K02000001,"330,000 ","216,000 ","66,000 ","330,000 ","226,000 ","66,000 ","330,000 ","225,000 ","66,000 ","247,000 ","189,000 ","53,000 ","420,000 ","264,000 ","81,000 "
2022 Q2,United Kingdom,K02000001,"332,000 ","224,000 ","67,000 ","336,000 ","234,000 ","69,000 ","335,000 ","232,000 ","68,000 ","256,000 ","196,000 ","55,000 ","425,000 ","272,000 ","83,000 "
